Author,Date,Text,Polairty,Subjectivity
Elizabeth_Saia,2019-02-18 09:30:05,"damn, felt that in my heart ",0.0,0.0
DreyCourvoisier,2019-02-18 09:30:14,I know I'm high af cos i was jammin right alone with they asses,0.22285714285714286,0.5378571428571428
king_jaydon22,2019-02-18 09:30:17,im telling @BrotherNature you took canelas kid man. that aint cool,0.35,0.65
zactocherr,2019-02-18 09:30:19,@nhisboring Issok me too,0.0,0.0
Isaleiii,2019-02-18 09:31:11,@SMHN_A21 The Heirs is good too,0.7,0.6000000000000001
breedeltoro,2019-02-18 09:31:17,I really dont get how some people are so.... inconsiderate.,0.2,0.2
DonahueKitsch,2019-02-18 09:31:21,@kalenaokunani HAHAAHHAAHHAHAHAHhhhahhhahh,0.0,0.0
XOKingJones,2019-02-18 09:31:26,,0.0,0.0
PaulaMRusso_,2019-02-18 09:31:26,@bigredwavenow @realDonaldTrump God will punish those who throw any acts of hatred towards Donald Trump and his family.,0.0,0.0
_kykai_,2019-02-18 09:31:38,Thank you for putting my heart at peace and making it easier for me to pick up the broken pieces &lt;3,-0.4,0.4
sansdeathherb71,2019-02-18 09:32:26,"I asked myself how people eat halo halo and my answer is ""very carefully"". ",-0.13,1.0
72sifa,2019-02-18 09:33:16,"Dont worry bout nothin but YOURSELF, #selfmade ",0.0,0.0
Raggehtweets,2019-02-18 09:33:27,Please come back ...,0.0,0.0
TrumpWaikiki,2019-02-18 09:33:26,"Another glorious day basking under the sun, poolside. #trumpwaikiki https://t.co/N9qbAH0RKd",0.0,0.0
SIZZAHHANDZ,2019-02-18 09:33:38, love of my life  x  erykah badu,0.5,0.6
KanakaHose,2019-02-18 09:33:40,Smh,0.0,0.0
SouthSydeShawty,2019-02-18 09:35:22,Omg... ,0.0,0.0
EveningOfTheDay,2019-02-18 09:43:53,@EvaRos8 @strada_teresa Ignorar-los.,0.0,0.0
TheRealMikeG__,2019-02-18 09:43:59,Back in the United States https://t.co/xAgfhU31tS,0.0,0.0
laynekushiyama,2019-02-18 09:44:07,#Legends,0.0,0.0
madgx_,2019-02-19 09:58:04,I miss my man ,0.0,0.0
_vandelay_,2019-02-19 09:58:10,i think that everyone ive ever spoken to deserves this apology from me,0.0,0.0
alliiez,2019-02-19 09:58:25,my sleep schedule is so messed up but it oddly works out,-0.16666666666666666,0.25
IanEnsign,2019-02-19 09:58:27,@nakeyjakey Sorry Im late https://t.co/Jhisr0r9mA,-0.4,0.8
alohatommyy,2019-02-19 09:58:41,Left 4 Dead 2 Spitter IRL,-0.1,0.2
SPEDiveSchool,2019-02-19 09:58:58,https://t.co/LOXzbgXRnb,0.0,0.0
SPEDiveSchool,2019-02-19 09:59:04,https://t.co/ceszdQVpel,0.0,0.0
jenniferchIoe,2019-02-19 09:59:07,the only reason i watch netflix: the office and all the marvel shows. fuck off for cancelling the two remaining sho https://t.co/Z45tWHkYv8,-0.2,0.8
eq_map_ww2,2019-02-19 10:33:00,"Ml3.1ISLAND OF HAWAII, HAWAII Depth 2km Feb 19, 2019 10:26:19 UTC (G)https://t.co/SswFl4twSI (EMSC)https://t.co/o0UL0MwZFT",0.0,0.0
earthshook,2019-02-19 10:33:07,"Ml 3.08 earthquake (automatic) occured at 2019-02-19T10:26:19 UTC, 25km WNW of Volcano, Hawaii https://t.co/68dFJoJQvy",0.0,0.0
nesileka,2019-02-19 10:45:22,,0.0,0.0
brittneybeast,2019-02-19 10:45:24,@amandajaynalyn Howd that pop up? ,0.0,0.0
pinzzoy,2019-02-20 03:56:28,Cant hustle a hustler,0.0,0.0
Grimeyvibes,2019-02-20 04:15:01,THIS,0.0,0.0
elgauchogrub,2019-02-20 04:15:01,Pretty good but the hops seem to get lost a bit - Drinking a Skinny Jeans IPA by @waikikibrewing @ Mauna Lani Point https://t.co/cDtCtLygjh,0.475,0.8
Nathanielaguin1,2019-02-20 04:15:09,@heeyjessiii @acxjj Shell tell you. If she wants too :),0.35,0.55
mochi1306_,2019-02-20 04:48:53,@calamansibb Damn sis I need dis,0.0,0.0
53_bythesea,2019-02-20 04:49:25,Who doesnt love cheese on everything? @ 53 By The Sea https://t.co/kSyCk5KXmn,0.5,0.6
