Author,Date,Text,Polairty,Subjectivity
mediapeople,2019-02-17 06:09:41,Current view. Great to be home in the house I grew up in. Spending a week with the family in Washington state. @ Bu https://t.co/YAjdie38Hq,0.4,0.575
Cruzxoxo_,2019-02-17 06:09:59,Damn  https://t.co/abPbtF058w,0.0,0.0
BLOOD0FGANON,2019-02-17 06:10:34,@A_dmg04 Still havent gotten it to drop and the tracking is disgusting lol,-0.09999999999999998,0.85
nyass35,2019-02-17 06:10:45,"Just woke in Canada... craving for Koko and kosai
#electionpostponed #NigeriaDecides2019 #INEC https://t.co/b3sXe9n7lL",0.0,0.0
XvNico206,2019-02-17 06:10:47,Someone Real Is Worth Waiting For.,0.44999999999999996,0.15000000000000002
hskyfn,2019-02-17 06:10:47,@jwendyaustin You'll get a chance to Show Off your #PurpleDoo :) #GoDawgs #BornToBeAHusky,0.5,1.0
pjtanton71,2019-02-17 06:10:53,@Edawg2788 @Around_Seattle @IAmJericho I think you have about one week left to catch it. I really enjoyed it. Loved the music too!,0.4583333333333333,0.5
TinaSSellers,2019-02-17 06:18:36,"@emilyjoypoetry Im w ya! Since I got a whiff of purity damage in 2000 and started writing about it, Ive been supp https://t.co/6meTAR6ycJ",0.0,0.0
ScoutClark42,2019-02-17 06:18:44,"And taking on his magnificent mustache, obviously #TOSSatNight",0.5,0.75
seerundo,2019-02-17 06:18:49,"A view from below
.
.
.
#bridge #viewfrombelow #washingtoncoast #deceptionspass #washington #seerundo @ Decepti https://t.co/TIavFxmKaR",0.0,0.0
OG_badddie,2019-02-17 06:19:00,Same ,0.0,0.125
jordan_sweeney3,2019-02-17 06:19:01,@forlivandlemons When you go the movies are there captions? No.,0.0,0.0
MarcusMedeiros4,2019-02-17 06:19:06,Bout to hit the town. Dont think Im ready,0.2,0.5
DoNotForget911,2019-02-17 06:19:06,"Arizona Democrat wants to ban 'In God We Trust' license plates because it funds religious liberty group

https://t.co/n6IiP8H1tT",0.1,0.175
tomrucker1953,2019-02-17 06:19:08,@charliekirk11 And those who blindly believed him and reported it!,-0.625,0.6666666666666666
LeftePropaganda,2019-02-17 06:19:20,Yeah thats not right ,-0.14285714285714285,0.5357142857142857
LunaticRave1,2019-02-17 06:19:23,https://t.co/uCfRtcN7Qi,0.0,0.0
missmarinebean,2019-02-17 06:19:25,@goldenkook10 I LOVE YOU,0.5,0.6
missmarinebean,2019-02-17 06:19:43,@OT7sMoonchild KEJKSJSK. HOW COULD I FORGET. yes. the holy trinity,0.0,0.0
jackie_r22,2019-02-17 06:19:43,"I only think of you on two occasions, thats day and night",0.0,1.0
Silverstar98121,2019-02-17 06:19:51,@StrangeAttract5 I bought Lacey a heating pad for her bed in the bedroom. It's made for press. I hope she likes it.,0.0,0.0
MargieKoenig1,2019-02-17 06:19:55,@ChatByCC @realDonaldTrump No thank you. Bring back President Obama. Please.,0.0,0.0
DoNotForget911,2019-02-17 06:20:00,"Oregon wildlife center's Valentine's Day promotion lets you name a salmon after your ex before it's fed to bears

https://t.co/WH5XCzPm3r",-0.1,0.1
ScoutClark42,2019-02-17 06:20:15,The Romulans going to throw all their batteries at him? The horror! #TOSSatNight,0.0,0.0
pairedsourcing,2019-02-17 06:20:16,+2,0.0,0.0
bornelsewhere,2019-02-17 06:20:22,@AOC I see the carbon tax is going well in France. #YellowVests,0.0,0.0
soleilbrille18,2019-02-17 06:20:25,She hired a legal resident w/o a work permit. Why not ask the person who appointed her why thats a problem when he https://t.co/D4FUGhhVU8,0.2,0.2
JuliaYates14,2019-02-17 06:20:41,@AlliyahBickford @Kamilyn16 Damn wtf . I aint cool I guess,-0.07500000000000001,0.825
Wraithkelso,2019-02-17 06:20:43,"My #StargateRewatch continues with Atlantis 2x03 Runner. The introduction of Jason Momoas Ronan Dex, and https://t.co/1fbJoUqiIy",0.0,0.0
Battybuddy,2019-02-17 06:20:43,"@heppoco01 We head to class together, and I notice that as a girl I find boys a little... attractive...",0.30625,0.75
majiksourcer,2019-02-17 06:20:58,@ebraun @iRunFar @chrismocko New CR? @SageCanaday,0.13636363636363635,0.45454545454545453
Lil_Brattt,2019-02-17 06:21:04,I get left out of literally everything at this point lmao. Literally feel like shit rn because all I do is car and https://t.co/LI6wgEazKw,0.13333333333333333,0.6
Slvckee,2019-02-17 06:21:08,we made a pact that we riding til the wheels fall off so buckle up,0.0,0.0
alexitaaaaa,2019-02-17 06:21:19,@ruebenquintero Dude soccer mommy is the best ,1.0,0.3
DoNotForget911,2019-02-17 06:21:29,"George Washington letter on God and the Constitution surfaces

https://t.co/ONtyWAPyDG",0.0,0.0
missmarinebean,2019-02-17 06:21:43,"tatas on a date , kinda nervous &gt;.&lt; https://t.co/QD8QwQi9k3",0.0,0.0
bramhabs98,2019-02-17 06:21:54,@BWildeGlobal I don;t see the Habs making the playoffs.  And I am not angry.  Just realistic.  They played over their heads for a long time.,0.12222222222222222,0.5777777777777778
zackhillere,2019-02-17 06:21:57,Im so bored I want to flirt with someone whos trynna waste my time,-0.35,0.5
MarcPong,2019-02-17 06:22:03,Extended my @duolingo streak to 13 days. Tomorrow the streak will be back at 2 weeks! Rebuild that streak! https://t.co/4ZCm2GGpz6,0.0,0.0
tomrucker1953,2019-02-17 06:22:10,@larryelder @chicagotribune Love it!,0.625,0.6
jordan_sweeney3,2019-02-17 06:22:17,@forlivandlemons No. Movies arent made to have captions.,0.0,0.0
Cait_onthe_Luce,2019-02-17 06:22:24,@nicole_soojung @MauriceRuffin Beautiful.,0.85,1.0
haley_ziegler,2019-02-17 06:22:30,Damn Netflix movies making me cry,0.0,0.0
bbriannastacy,2019-02-17 06:22:33,I did absolutely nothing today and it was great,0.5,0.825
XvNico206,2019-02-17 06:22:34,@kaleighjade_  https://t.co/GbJVdBFWrV,0.0,0.0
Aliya313,2019-02-17 06:22:35,@MrSami32 @egg_free_cake  Kiya Ho Giya Akhir ?? ,0.0,0.0
jasonleecarrion,2019-02-17 06:22:38,"Sat. 

#photography #lights #cozy #saturdaynight #hair @ PRF - Cafe &amp; Bar https://t.co/TswccuqoOB",-0.19999999999999998,0.75
IanFurnessSea,2019-02-17 06:22:41,Just when i want to sing your praises @comcastcares you disappoint again. Monopolies are awesome! Love paying for a https://t.co/kdawWdRWQ5,0.75,0.8
ursonate,2019-02-17 06:22:43,"Finished packing books! (@ T. S. McHugh's in Seattle, WA) https://t.co/Z8rPKNH8mS",0.0,0.0
soleilbrille18,2019-02-17 06:22:56,Wonder if Mueller is building case to indict him,0.0,0.0
EmmaBroback,2019-02-17 06:23:02,@KiraArghy :ohno:,0.0,0.0
CoreyOlomon,2019-02-17 06:23:27,"#Win a relaxing massage cushion via @plutoniumsox 

#giveaway https://t.co/CnT20M7Hfe",0.8,0.4
dennisprobinson,2019-02-17 06:23:31,Getting retro get my laugh on with @realdlhughley @theparlorla @ Parlor Live Bellevue https://t.co/I2T007W3N9,0.21818181818181817,0.3
tomrucker1953,2019-02-17 06:23:33,"@jennajameson @DimeTimeNBA Insane, I think she did it",-1.0,1.0
online_goblin,2019-02-17 06:23:37,mason is on sicko mode and tried to outrun the city bus,0.0,0.0
ScoutClark42,2019-02-17 06:23:40,I love it when Spock calls Bones cute #TOSSatNight,0.5,0.8
tikimike21,2019-02-17 06:23:48,"@CyndiCynth @beaglefacts Constantly trying to get my point across, only to be interrupted ",0.0,0.6666666666666666
PSJHCareers,2019-02-17 06:24:03,"If you're looking for work in Renton, WA, check out this job: https://t.co/vAh0E6UAkV #PSJHJobs #Healthcare",0.0,0.0
borborigma,2019-02-17 06:24:05,Hey Arm &amp; Hammer toothpaste!  Having a Brit sell me toothpaste is not a good idea.,-0.35,0.6000000000000001
MargieKoenig1,2019-02-17 06:24:13,I bet a lot of people want to return their Art of the Deal book after its become apparent that Trump is not a deal https://t.co/mBSWOynojd,0.05,0.35
ColdheartmediaT,2019-02-17 06:24:20,@YT_Reagan That's dope ,0.0,0.0
Tristan_In_Gold,2019-02-17 06:24:20,,0.0,0.0
Aliya313,2019-02-17 06:24:43,@iCricketFreak @egg_free_cake Racist Racoons you all are really  ,0.2,0.2
ColdheartmediaT,2019-02-17 06:25:06,@elonmusk #thatboiielon ,0.0,0.0
Munkswell,2019-02-17 06:25:09,"Are there like, non memey pikachu related telegram stickers floating about?",0.0,0.4
hiitslyssa,2019-02-17 06:25:11,I got my hair done today and feel so new and refreshed  its been too long lol happy early bday to me,0.3572727272727273,0.5709090909090909
zackhillere,2019-02-17 06:25:11,"Me: 

My stomach: SSSKSKSKSKISNSSKSKSNSISMAOWBDXUAJWBENDOXIZANWOAOSHBWBEIDKRNEGAUAWdKAMSSJSJNSSNSISMAOAMSNSJSJJSNSS https://t.co/3Z43kbavoR",0.0,0.0
clitorith,2019-02-17 06:25:18,spot the difference https://t.co/SbpcaZsxBp,0.0,0.0
RealSeanBrosnan,2019-02-17 06:25:19,"Great day in Seattle for the Newbury Park crew! Three freshman running:
4:30, 4:39 and 2:04 for the mile and 800m. https://t.co/LPYvB5uurg",1.0,0.75
Lil_Brattt,2019-02-17 06:25:26,"Real fuckin bummed rn lemme tell ya. Its been a hard night, but it doesnt matter so ya know",-0.04583333333333334,0.42083333333333334
jasonrantz,2019-02-17 06:25:59,@deuceohsixx Want to call into the show next week to call me out? Or do you want to keep it to Twitter?,0.0,0.0
Cait_onthe_Luce,2019-02-17 06:26:03,@TobiasCarroll The book is The Bottom of the Sky by Rodrigo Fresn and translated by @WillVanderhyden. @open_letter,0.0,0.0
RealMenFullBush,2019-02-17 06:26:21,@b_nashguy Set it up ,0.0,0.0
wsdot_tacoma,2019-02-17 06:26:27,"Updated: Collision on SR 8 EB at milepost 17.56 near Wilson Rd NW beginning at 10:10 pm on February 16, 2019 until https://t.co/PuF5oGN8mE",0.1,0.4
VKrysko_,2019-02-17 06:26:27,contrary to popular belief Yakima is tight as fuck https://t.co/0fxHlGwNT8,0.0071428571428571175,0.5952380952380952
iansimaging,2019-02-17 06:26:35,This #sx70 cameras is one of my most prized cameras in my collection. See more of my collection and how I shoot the https://t.co/lfwmqivmqm,0.5,0.5
OG_badddie,2019-02-17 06:26:40,I could be at home on twitter but instead Im out and about on Twitter ,0.0,0.0
kevvurs,2019-02-17 06:26:48,When's March Madness?,0.0,0.0
Overlax,2019-02-17 06:27:48,Copy that!,0.0,0.0
hazzelnutss,2019-02-17 06:27:52,@gaylaflame You should had fuck that shit and made it better lmao !!!,0.22499999999999998,0.725
ASRaleigh1,2019-02-17 06:27:53,https://t.co/HNdOT1fLfV,0.0,0.0
Musie_CTB,2019-02-17 06:28:23,Album mode,0.0,0.0
NalimSureda,2019-02-17 06:28:27,@clevous @EdwardEgrosFox4 It should be embarrassing to the NFL. They f*cked up the entire thing. Kaepernick and his https://t.co/zsAAZEOerL,0.0,0.625
caffeine4dayz,2019-02-17 06:28:30,I LOVE BEING ALIVE AND YOUNG,0.2333333333333333,0.4666666666666666
